entropy,EpRewMean,entloss,surrgain,EpisodesSoFar,EpLenMean,EpThisIter,TimestepsSoFar,EpTrueRewMean,ev_tdlam_before,meankl,optimgain,TimeElapsed
6.688476,79.64562,0.0,0.1180224,1021,631.25,2,570380,2054.5107400357383,0.8614303469657898,0.010256767,0.1180224,2304.031564950943
6.6599126,80.10933,0.0,0.097094215,1023,633.0,2,571655,2072.4406138727136,0.7957628965377808,0.010753002,0.097094215,2308.1420402526855
6.6612563,83.89836,0.0,0.10251012,1025,655.6,2,573105,2156.246680192479,0.7626459896564484,0.010155874,0.10251012,2312.249274969101
6.695435,85.31776,0.0,0.12276993,1026,663.1,1,573858,2186.8184521653093,0.7795737087726593,0.0113236075,0.12276993,2316.354353427887
6.7314405,85.446556,0.0,0.117229365,1027,671.875,1,574858,2217.1913176198923,0.8536082208156586,0.010460826,0.117229365,2320.512259721756
6.730669,87.5025,0.0,0.08438559,1028,688.55,1,575858,2279.270772643057,0.2382422685623169,0.010103886,0.08438559,2324.6305615901947
6.7108593,87.24071,0.0,0.1100578,1029,693.475,1,576858,2301.054565620523,0.6367938220500946,0.010169367,0.1100578,2328.7859048843384
6.7581964,86.33526,0.0,0.13386545,1030,691.375,1,577390,2296.5406287492006,0.807695746421814,0.0111629795,0.13386545,2332.9118027687073
6.7141285,82.97151,0.0,0.12626311,1032,665.7,2,577851,2209.877553920645,0.7651984989643097,0.012370152,0.12626311,2337.0706491470337
6.676316,83.84605,0.0,0.098246515,1033,676.975,1,578851,2252.989338223992,0.44195425510406494,0.011517335,0.098246515,2341.201531648636
6.6733994,82.14368,0.0,0.1341877,1035,665.15,2,579918,2214.137905677956,0.7424233555793762,0.01165678,0.1341877,2345.3518555164337
6.6449413,80.90807,0.0,0.12686811,1037,655.85,2,581028,2187.0791195781107,0.7880549877882004,0.012532905,0.12686811,2349.499731063843
6.6360517,82.03914,0.0,0.10697107,1038,665.8,1,582028,2219.0125354084075,0.04730135202407837,0.010553166,0.10697107,2353.614696264267
6.684694,81.707855,0.0,0.1446583,1039,665.05,1,582827,2221.202748069066,0.8516288995742798,0.011000853,0.1446583,2357.7644028663635
6.673711,81.86991,0.0,0.11786836,1040,667.25,1,583329,2231.0138180040003,0.8393603265285492,0.010116067,0.11786836,2361.892167568207
6.6981773,81.99516,0.0,0.12439342,1042,667.25,2,584541,2240.2749107333243,0.7012820243835449,0.011834361,0.12439342,2366.039184331894
6.6742725,82.09972,0.0,0.10956367,1044,669.775,2,585901,2256.7029462461774,0.7541548758745193,0.010571869,0.10956367,2370.171704053879
6.6421647,77.67059,0.0,0.12014142,1047,639.275,3,587066,2153.4470230234265,0.9056540578603745,0.011478443,0.12014142,2374.330260515213
6.66205,77.18405,0.0,0.1555484,1049,632.775,2,587909,2131.5746138750824,0.7441307902336121,0.0120975,0.1555484,2378.48445892334
6.6572304,81.425644,0.0,0.11665701,1050,652.125,1,588908,2210.7208214884618,0.8056877106428146,0.0102991145,0.11665701,2382.623024702072
6.6230464,81.3384,0.0,0.10068857,1051,651.25,1,589480,2209.421198615987,0.8182716518640518,0.011082149,0.10068857,2386.7775189876556
6.5941625,81.44275,0.0,0.11632815,1052,650.525,1,590149,2208.062533578884,0.7412933111190796,0.010470208,0.11632815,2390.9065268039703
6.5779557,81.64917,0.0,0.11455837,1053,653.775,1,591149,2222.007740237797,0.5004287362098694,0.010916138,0.11455837,2395.065279006958
6.5804625,81.69059,0.0,0.12171848,1055,656.05,2,592345,2235.7851558012617,0.874745711684227,0.011356478,0.12171848,2399.218597173691
6.5519457,78.88498,0.0,0.110934615,1057,638.175,2,593591,2169.3381018918253,0.8862596228718758,0.01061279,0.110934615,2403.358951807022
6.4884458,77.682785,0.0,0.11616039,1058,640.0,1,594504,2167.333178911439,0.6922537088394165,0.010800071,0.11616039,2407.512603998184
6.4909096,79.96018,0.0,0.111624345,1059,658.1,1,595440,2243.3603862647165,0.5389502346515656,0.010057468,0.111624345,2411.6642117500305
