surrgain,EpRewMean,meankl,EpisodesSoFar,EpTrueRewMean,TimeElapsed,TimestepsSoFar,entloss,EpThisIter,EpLenMean,ev_tdlam_before,entropy,optimgain
0.18665959,0.42730865,0.0050732396,13875,397.60928456076,25032.100600004196,1085941,0.0,12,77.825,-0.5665774345397949,23.60143,0.18665959
0.15514964,0.45484313,0.005568728,13886,422.1087559248097,25055.289755105972,1086961,0.0,11,84.075,-0.11531209945678711,23.600626,0.15514964
0.196147,0.44918576,0.0052061668,13898,438.69969799034124,25078.183108091354,1088057,0.0,12,87.55,-0.18293392658233643,23.601551,0.196147
0.26141158,0.45567733,0.004919408,13909,445.7959449633052,25101.246054172516,1089057,0.0,11,88.725,0.1160118579864502,23.604816,0.26141158
0.2792291,0.482688,0.005720724,13921,467.64810148182823,25124.103969097137,1090126,0.0,12,92.85,-0.1750105619430542,23.605795,0.2792291
0.21711792,0.49877268,0.0059296302,13934,440.9649227361071,25146.911653280258,1091195,0.0,13,86.575,0.20211666822433472,23.606113,0.21711792
0.20393747,0.44404292,0.0061069457,13946,433.23315622054633,25170.02429008484,1092214,0.0,12,85.675,-0.02437150478363037,23.604824,0.20393747
0.19033603,0.49175978,0.00482218,13958,414.592396524711,25192.916909217834,1093184,0.0,12,82.075,-0.1038045883178711,23.606447,0.19033603
0.21477783,0.506819,0.0058773626,13972,400.5665454314402,25215.929955005646,1094228,0.0,14,79.65,-0.06233799457550049,23.606974,0.21477783
0.28769034,0.53149503,0.0046453755,13984,411.03789006657996,25238.64369726181,1095314,0.0,12,82.05,0.1833297610282898,23.607265,0.28769034
0.17609568,0.53629863,0.005831568,13997,409.25537700211936,25261.858577251434,1096327,0.0,13,81.1,-0.264589786529541,23.60795,0.17609568
0.25261986,0.6658179,0.005212213,14010,429.6185653650831,25284.742495059967,1097454,0.0,13,84.575,-0.3540961742401123,23.607454,0.25261986
0.1556052,0.65504265,0.005063027,14022,430.77279431019963,25307.80988430977,1098493,0.0,12,83.45,0.04896062612533569,23.610506,0.1556052
0.2205917,0.7287447,0.0056116045,14034,437.15000050733727,25330.903319120407,1099507,0.0,12,84.925,-0.10509967803955078,23.60902,0.2205917
0.24300218,0.5394085,0.006096829,14047,425.83686178236724,25354.05432701111,1100532,0.0,13,83.275,0.36627882719039917,23.609873,0.24300218
