EpLenMean,EpThisIter,ev_tdlam_before,EpTrueRewMean,TimestepsSoFar,meankl,surrgain,EpRewMean,EpisodesSoFar,TimeElapsed,entropy,optimgain,entloss
907.9,1,-0.0280076265335083,992.0010540833766,90862,0.008635258,0.05642046,202.37708,177,308.35719656944275,3.919304,0.05642046,0.0
907.9,1,0.06463867425918579,993.8326175897931,91862,0.008438896,0.04721573,199.74353,178,311.56824350357056,3.9114056,0.04721573,0.0
907.9,1,0.12775659561157227,997.6347203726142,92862,0.007861999,0.056733023,197.27768,179,314.77311730384827,3.919,0.056733023,0.0
907.9,1,0.04966115951538086,1000.9173514304275,93862,0.008975183,0.055330563,194.78622,180,317.9840774536133,3.9347532,0.055330563,0.0
922.4,1,0.10562556982040405,1018.4655938519045,94679,0.0074210726,0.06271827,196.5766,181,321.3445816040039,3.9281862,0.06271827,0.0
919.325,2,0.08542990684509277,1021.6842880988312,96087,0.008224548,0.05243063,192.20822,183,324.85587096214294,3.9005811,0.05243063,0.0
898.4,2,0.046333134174346924,1003.6443863911616,97250,0.008914833,0.068027854,184.67073,185,328.392441034317,3.8852599,0.068027854,0.0
915.45,1,0.5763407647609711,1024.0127758884576,98045,0.0077542216,0.061822556,186.82114,186,331.9372980594635,3.886389,0.061822556,0.0
901.65,2,0.27295058965682983,1017.7616761774161,99493,0.008943002,0.054025024,180.6032,188,335.14846110343933,3.915642,0.054025024,0.0
886.15,1,0.1336667537689209,1003.2765240370793,99730,0.007846633,0.060389247,176.917,189,338.3674683570862,3.910002,0.060389247,0.0
869.65,1,0.24516236782073975,987.8488059048838,100070,0.008661209,0.06403624,172.32364,190,341.6361277103424,3.9217815,0.06403624,0.0
869.65,1,0.08135735988616943,995.9619681274305,101070,0.008352296,0.040441804,171.3592,191,345.11540961265564,3.9125302,0.040441804,0.0
869.65,1,0.2670248746871948,1003.8028314914682,102070,0.007846661,0.04632069,170.25865,192,348.5597040653229,3.909371,0.04632069,0.0
869.65,1,0.02205103635787964,1011.292745763419,103070,0.008578927,0.058699116,169.38829,193,351.8377296924591,3.9093914,0.058699116,0.0
862.95,2,0.1114078164100647,1012.225750595079,104251,0.008918761,0.06559159,167.12288,195,355.0633752346039,3.8961198,0.06559159,0.0
862.95,1,-0.08868694305419922,1020.5377030304575,105251,0.008020023,0.04965172,165.91257,196,358.3119444847107,3.8806837,0.04965172,0.0
862.95,1,-0.25804853439331055,1029.4146827440877,106251,0.008081039,0.063639626,164.78366,197,361.83389687538147,3.894197,0.063639626,0.0
