entropy,TimeElapsed,optimgain,EpTrueRewMean,EpThisIter,EpisodesSoFar,TimestepsSoFar,meankl,surrgain,ev_tdlam_before,EpLenMean,EpRewMean,entloss
8.165726,1117.7198235988617,0.11320207,904.7772346173249,2,590,289408,0.008783964,0.11320207,0.8066739290952682,522.625,129.26012,0.0
8.175777,1122.275624036789,0.0881159,910.3550437427466,1,591,290408,0.009366339,0.0881159,0.02438187599182129,533.6,129.14505,0.0
8.183884,1126.8362987041473,0.09470935,926.856006452272,1,592,291273,0.009032749,0.09470935,0.16189146041870117,545.35,130.77849,0.0
8.162472,1131.390878200531,0.120245114,937.4665653012551,3,595,292974,0.009880133,0.120245114,0.7766379117965698,549.825,129.15157,0.0
8.1592865,1135.949078798294,0.0868227,935.2599685029427,1,596,293974,0.009281453,0.0868227,0.021622896194458008,552.45,127.502174,0.0
8.159013,1140.518951177597,0.11795243,979.3706520395423,3,599,295866,0.009824671,0.11795243,-0.052521467208862305,575.825,130.83818,0.0
8.156921,1145.093013048172,0.098051816,973.9631998116922,1,600,296866,0.009246491,0.098051816,0.045464158058166504,575.825,129.04309,0.0
8.161453,1149.488822221756,0.09267271,977.395794069678,1,601,297866,0.009489516,0.09267271,-0.3019205331802368,583.6,128.04015,0.0
8.154908,1153.4871735572815,0.089127965,1002.1961777809258,2,603,299057,0.009265005,0.089127965,0.6129222810268402,602.7,130.36581,0.0
8.170536,1157.4870898723602,0.110987,1029.3655816892597,1,604,300057,0.009905216,0.110987,-0.4694054126739502,622.15,133.28973,0.0
8.183894,1161.4989161491394,0.12000429,1016.5214888619255,3,607,301193,0.008960441,0.12000429,0.8088922500610352,619.1,130.17659,0.0
8.181019,1165.5000576972961,0.1667351,1006.8990607705928,1,608,301773,0.00906142,0.1667351,0.8729326725006104,612.375,128.45671,0.0
8.189698,1169.5071992874146,0.12854256,1037.9692170676249,2,610,303259,0.009450452,0.12854256,0.23790383338928223,628.025,130.36002,0.0
8.199222,1173.5079777240753,0.098501034,1058.8835687344201,1,611,304259,0.008925146,0.098501034,0.06465721130371094,641.45,132.3962,0.0
8.206295,1177.507095336914,0.25032714,1085.240760547677,1,612,305061,0.009101754,0.25032714,0.8467196226119995,652.7,134.48824,0.0
8.206967,1181.512680053711,0.09696835,1086.6957024827366,1,613,306061,0.009513536,0.09696835,-0.29533863067626953,659.975,133.39798,0.0
8.199342,1185.5098180770874,0.09742283,1091.978869479196,1,614,306867,0.009976868,0.09742283,0.4578736424446106,661.125,132.97842,0.0
8.18652,1189.5074689388275,0.10802972,1128.494603422847,2,616,308147,0.0094061885,0.10802972,0.32414382696151733,673.75,136.09976,0.0
8.178411,1193.5149607658386,0.15737215,1141.998950887824,1,617,308881,0.009648598,0.15737215,0.9051987677812576,675.6,136.58015,0.0
8.208178,1197.512537240982,0.09818658,1173.682713295771,1,618,309881,0.009354309,0.09818658,0.02838420867919922,695.075,139.29578,0.0
8.186723,1201.5111978054047,0.09081209,1177.075648546388,1,619,310881,0.009080105,0.09081209,0.19973617792129517,698.2,138.55696,0.0
8.178043,1205.511526107788,0.10817424,1179.6752715973755,1,620,311881,0.00957844,0.10817424,0.05004078149795532,698.2,137.76825,0.0
8.176254,1209.5211791992188,0.10529752,1214.0360687389064,1,621,312881,0.010093298,0.10529752,0.28594034910202026,717.6,140.46121,0.0
8.202286,1213.5202260017395,0.106006846,1253.1480908003482,1,622,313845,0.009368569,0.106006846,0.8079530894756317,730.7,143.93948,0.0
8.21899,1217.5124518871307,0.08831507,1267.8291709362777,1,623,314845,0.008724922,0.08831507,0.2869483232498169,744.475,144.80788,0.0
8.203555,1221.5049340724945,0.11243012,1307.3694228271008,2,625,316718,0.010293187,0.11243012,0.47896331548690796,766.575,147.20227,0.0
8.210567,1225.8314547538757,0.16823104,1307.055244480982,2,627,317762,0.009666178,0.16823104,0.5386412143707275,759.1,146.18515,0.0
8.217652,1229.8148119449615,0.10152328,1264.1430708816927,3,630,318623,0.009300066,0.10152328,0.7987392097711563,730.375,139.74216,0.0
8.233443,1233.8043520450592,0.102215454,1266.9500862677637,1,631,319623,0.009127947,0.102215454,-0.09491837024688721,730.375,139.3009,0.0
8.241451,1237.7962412834167,0.08655506,1272.4598589373386,2,633,321383,0.009389062,0.08655506,0.5693285167217255,728.05,137.54703,0.0
8.240233,1241.7941200733185,0.1203011,1260.631381106091,2,635,322052,0.0094819665,0.1203011,0.7340982258319855,726.95,135.81395,0.0
8.224065,1245.7803363800049,0.10912512,1266.287779424616,1,636,323052,0.010386635,0.10912512,0.4106873869895935,726.95,134.83243,0.0
8.222766,1249.7648122310638,0.16410434,1242.2213922319224,3,639,324181,0.009736467,0.16410434,0.794387936592102,707.875,130.27911,0.0
8.222731,1253.7622871398926,0.124392025,1252.9864449436413,1,640,324912,0.009941327,0.124392025,0.6183426380157471,701.15,130.36562,0.0
8.230945,1257.7566766738892,0.092604056,1260.259041871659,1,641,325912,0.009359375,0.092604056,-0.11001133918762207,701.15,129.40157,0.0
8.241223,1261.7443702220917,0.12133648,1260.0913789173387,3,644,327392,0.0100021735,0.12133648,0.7309781312942505,683.375,127.183426,0.0
8.225164,1265.733652830124,0.118276566,1259.766117745038,2,646,328427,0.00965479,0.118276566,0.7932755798101425,684.675,126.59895,0.0
8.231213,1269.7221570014954,0.10014247,1253.2425495747236,3,649,329669,0.009416675,0.10014247,0.8687416613101959,672.4,124.13267,0.0
