EpLenMean,meankl,TimeElapsed,EpisodesSoFar,entloss,optimgain,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,entropy,EpThisIter,surrgain,EpRewMean
1000.0,0.0049254457,3352.914160490036,1027,0.0,0.09680998,-0.3395564556121826,1027000,-3168.4373216090535,7.969483,1,0.09680998,92.39676
1000.0,0.014391033,3356.4221534729004,1028,0.0,0.15839706,-0.026206612586975098,1028000,-3165.5705125511327,7.9287252,1,0.15839706,93.598434
1000.0,0.0049698725,3359.9509739875793,1029,0.0,0.08323932,-0.17806994915008545,1029000,-3152.3087418779787,7.9245567,1,0.08323932,92.274826
1000.0,0.014956306,3363.4248588085175,1030,0.0,0.14277086,0.009166121482849121,1030000,-3131.833329885036,7.8709836,1,0.14277086,91.84166
1000.0,0.0051454855,3366.9177062511444,1031,0.0,0.11388267,0.24454498291015625,1031000,-3119.466330820266,7.8756223,1,0.11388267,90.563896
1000.0,0.0037795817,3370.397121667862,1032,0.0,0.07377242,0.5175147354602814,1032000,-3116.5708875225428,7.8857303,1,0.07377242,90.94186
1000.0,0.014128186,3373.8834569454193,1033,0.0,0.113198504,0.2734847664833069,1033000,-3088.159578975314,7.8883705,1,0.113198504,92.514565
1000.0,0.014350638,3377.3692166805267,1034,0.0,0.18199247,0.11085474491119385,1034000,-3103.5053697465787,7.900512,1,0.18199247,90.4644
1000.0,0.004975549,3380.8387117385864,1035,0.0,0.12132707,0.6466243267059326,1035000,-3088.9234978368136,7.8722405,1,0.12132707,90.253494
1000.0,0.014294786,3384.3069307804108,1036,0.0,0.20358205,0.334361732006073,1036000,-3068.6995219048827,7.8417974,1,0.20358205,91.631424
1000.0,0.0046757143,3387.778056383133,1037,0.0,0.09103887,0.45723462104797363,1037000,-3062.4454968288615,7.8171425,1,0.09103887,92.96159
1000.0,0.013672564,3391.249435901642,1039,0.0,0.098184444,-1.251206874847412,1039000,-3045.278805740241,7.8317266,2,0.098184444,96.68367
1000.0,0.0045232116,3394.7215530872345,1040,0.0,0.08197651,-0.026743173599243164,1040000,-3040.2005303320357,7.843502,1,0.08197651,96.742325
1000.0,0.014819528,3398.2036085128784,1041,0.0,0.10319044,0.7378251850605011,1041000,-3054.39969327141,7.819701,1,0.10319044,97.41637
1000.0,0.0040991143,3401.6922223567963,1042,0.0,0.090527736,0.42040157318115234,1042000,-3029.7216752917525,7.7587886,1,0.090527736,100.12898
1000.0,0.013711881,3405.2022581100464,1043,0.0,0.19842313,0.7845084518194199,1043000,-3038.548046262784,7.7498016,1,0.19842313,104.45493
1000.0,0.0143257035,3408.6980998516083,1044,0.0,0.10948916,0.7329789400100708,1044000,-3032.519685427226,7.670242,1,0.10948916,106.87865
1000.0,0.004158928,3412.203572511673,1045,0.0,0.070597485,-0.07012414932250977,1045000,-3052.0690622156385,7.6677866,1,0.070597485,103.0532
1000.0,0.013808054,3415.697352170944,1046,0.0,0.14457098,0.37167155742645264,1046000,-3059.209991524801,7.6457677,1,0.14457098,104.00185
1000.0,0.0049972907,3419.191104412079,1047,0.0,0.08315711,0.6308527588844299,1047000,-3062.0204709541163,7.637772,1,0.08315711,100.64555
1000.0,0.004706584,3422.6852679252625,1048,0.0,0.09616494,0.8090675175189972,1048000,-3054.0864609060473,7.649491,1,0.09616494,101.43358
1000.0,0.0042320304,3426.169624567032,1049,0.0,0.09471293,0.8282924443483353,1049000,-3067.5481249709496,7.63953,1,0.09471293,98.19867
1000.0,0.003912925,3429.6721410751343,1050,0.0,0.096449226,0.9019653797149658,1050000,-3085.530226505756,7.629757,1,0.096449226,90.89018
1000.0,0.0043045706,3433.1405894756317,1051,0.0,0.08044954,0.8630505502223969,1051000,-3073.942588696872,7.6353917,1,0.08044954,90.812515
