entloss,EpThisIter,EpRewMean,EpisodesSoFar,entropy,ev_tdlam_before,TimestepsSoFar,meankl,TimeElapsed,EpLenMean,EpTrueRewMean,surrgain,optimgain
0.0,14,10.548818,2888,23.259932,0.8126139938831329,207412,0.0133688385,5590.552942991257,75.2,393.408113202058,0.25685996,0.25685996
0.0,13,10.047448,2901,23.263023,0.7811708599328995,208395,0.012862785,5613.832767248154,72.925,383.08982750708134,0.28988516,0.28988516
0.0,13,10.083722,2914,23.262218,0.8176638782024384,209379,0.014097817,5637.1808750629425,75.175,397.4561708957296,0.31233564,0.31233564
0.0,12,10.149979,2926,23.256676,0.807183176279068,210398,0.004331598,5660.618492126465,78.55,412.8065486712265,0.13794497,0.13794497
0.0,12,10.421063,2938,23.248503,0.7656112909317017,211414,0.014482168,5684.214221000671,81.075,427.051667247727,0.3085305,0.3085305
0.0,10,10.131564,2948,23.253916,0.8013387769460678,212417,0.013942961,5707.455090045929,86.375,449.65470982429133,0.31012097,0.31012097
0.0,11,11.089485,2959,23.243006,0.7482980191707611,213421,0.014598282,5731.028551101685,92.05,478.48282860436655,0.2696265,0.2696265
0.0,14,10.598796,2973,23.228878,0.7984658926725388,214463,0.013445556,5754.690068244934,86.15,449.2146488203305,0.2846446,0.2846446
0.0,14,9.915977,2987,23.22445,0.8428154587745667,215539,0.014575226,5777.8680102825165,80.9,422.0947799001671,0.2933553,0.2933553
0.0,14,9.285198,3001,23.236326,0.7922030091285706,216582,0.013328759,5801.21168923378,75.225,396.32965078893614,0.26687637,0.26687637
0.0,13,9.770801,3014,23.231287,0.8132485002279282,217625,0.013643431,5824.872133016586,76.35,403.7240126213038,0.25890458,0.25890458
0.0,15,9.655031,3029,23.231806,0.7600296139717102,218663,0.014360849,5848.064551115036,74.775,395.78164214086985,0.28406894,0.28406894
0.0,11,9.9636965,3040,23.230309,0.647808849811554,219657,0.014239119,5871.550184249878,78.825,415.2952308841683,0.31832406,0.31832406
0.0,12,9.196869,3052,23.230146,0.8122396171092987,220704,0.014628552,5895.2050359249115,80.825,425.5621799962622,0.3017969,0.3017969
0.0,14,9.1921015,3066,23.231583,0.7842623144388199,221732,0.013090145,5918.890999078751,82.0,429.9870281414511,0.2829019,0.2829019
0.0,12,8.616046,3078,23.228157,0.7739859521389008,222729,0.0039229556,5942.211208105087,80.375,421.3961447319292,0.13665988,0.13665988
0.0,12,9.031243,3090,23.229326,0.7641440182924271,223736,0.014485921,5968.316082239151,80.15,417.17471760925525,0.36008245,0.36008245
