EpLenMean,EpTrueRewMean,EpRewMean,entropy,EpisodesSoFar,optimgain,EpThisIter,ev_tdlam_before,meankl,surrgain,TimestepsSoFar,TimeElapsed,entloss
85.525,411.20496561748195,21.384525,23.330095,2024,0.25763986,12,0.871895432472229,0.0147720035,0.25763986,133129,605.7069771289825,0.0
84.825,406.9962417472795,21.200087,23.33161,2036,0.2653073,12,0.9041769430041313,0.01382063,0.2653073,134087,610.2803838253021,0.0
83.225,401.92701527542954,20.63324,23.340887,2048,0.2923358,12,0.8515273034572601,0.013792791,0.2923358,135106,614.8836960792542,0.0
87.425,420.65019593840526,21.415861,23.337872,2058,0.13335979,10,0.900017112493515,0.0039428934,0.13335979,136078,619.4730541706085,0.0
89.5,431.726052115678,21.315338,23.331966,2069,0.3678396,11,0.9095829278230667,0.01427744,0.3678396,137058,624.0535867214203,0.0
91.25,442.47669626731823,21.712967,23.33146,2080,0.13683873,11,0.9001549407839775,0.0037858337,0.13683873,138124,628.6297385692596,0.0
90.375,436.3752758128463,21.688244,23.323797,2092,0.2695623,12,0.869798868894577,0.0136023555,0.2695623,139134,633.2194833755493,0.0
92.35,447.6973007705725,21.757923,23.323324,2102,0.13845788,10,0.8995358198881149,0.003990373,0.13845788,140133,637.9421272277832,0.0
91.275,440.59984645134136,21.357456,23.315184,2113,0.14144805,11,0.9033733829855919,0.004166669,0.14144805,141094,642.5195770263672,0.0
89.275,427.94759653958647,20.694557,23.31745,2125,0.29278335,12,0.8852511569857597,0.013645425,0.29278335,142142,647.1454846858978,0.0
88.5,423.6915143907801,20.614712,23.316957,2136,0.14257836,11,0.8637239336967468,0.0039404514,0.14257836,143087,651.7455875873566,0.0
90.575,434.27545567875393,21.449688,23.316977,2146,0.17278111,10,0.8503798842430115,0.004100724,0.17278111,144103,656.3534750938416,0.0
90.45,431.42778089907733,21.530966,23.315998,2158,0.13515633,12,0.8762902840971947,0.0039130803,0.13515633,145165,660.9647204875946,0.0
